"filename", "language", "JavaScript", "JSON with Comments", "Vue", "TypeScript", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\.eslintrc.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 20323, 0, 1, 20324
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\package.json", "JSON", 0, 0, 0, 0, 0, 0, 36, 0, 1, 37
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\public\index.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 1, 3, 21
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\main.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\CommentTestView.vue", "Vue", 0, 0, 65, 0, 0, 0, 0, 2, 0, 67
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\tailwind.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\tsconfig.json", "JSON with Comments", 0, 29, 0, 0, 0, 0, 0, 11, 1, 41
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\vue.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 1, 1, 22
"Total", "-", 57, 29, 65, 3, 19, 17, 20359, 16, 18, 20583
