"filename", "language", "JavaScript", "JSON with Comments", "Vue", "TypeScript", "CSS", "XML", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\.eslintrc.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 20323, 0, 1, 20324
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 37
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 3, 21
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\App.vue", "Vue", 0, 0, 44, 0, 0, 0, 0, 0, 0, 2, 6, 52
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\logo\hapigames.svg", "XML", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\android.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\apple.svg", "XML", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 2, 65
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\best_sell.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\best_sell2.svg", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\free.svg", "XML", 0, 0, 0, 0, 0, 73, 0, 0, 0, 1, 1, 75
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\linux.svg", "XML", 0, 0, 0, 0, 0, 78, 0, 0, 0, 1, 1, 80
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\recent.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\sale.svg", "XML", 0, 0, 0, 0, 0, 114, 0, 0, 0, 1, 1, 116
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\star.svg", "XML", 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 1, 62
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\top.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\web.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\windows.svg", "XML", 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 1, 50
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\GameBlog.vue", "Vue", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\GameInfo.vue", "Vue", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 99
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\GameList.vue", "Vue", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 2, 86
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\HomeFAQ.vue", "Vue", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\HomeFooter.vue", "Vue", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 54
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\PlatformNavigation.vue", "Vue", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\TopNavigation.vue", "Vue", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 34
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\common\BottomBar.vue", "Vue", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\common\SideBar.vue", "Vue", 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 1, 201
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\common\SideBarHref.vue", "Vue", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\common\SlideShow.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\common\TopBar.vue", "Vue", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\index.css", "CSS", 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 1, 46
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\main.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\router\index.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\shims-vue.d.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\store\index.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\AboutView.vue", "Vue", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\CommentTestView.vue", "Vue", 0, 0, 167, 0, 0, 0, 0, 0, 0, 2, 3, 172
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\HomeLoginView.vue", "Vue", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\HomeView.vue", "Vue", 0, 0, 228, 0, 0, 0, 0, 0, 0, 1, 3, 232
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\LoginView.vue", "Vue", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 5, 106
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\RegisterView.vue", "Vue", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 5, 150
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\tailwind.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\tsconfig.json", "JSON with Comments", 0, 29, 0, 0, 0, 0, 0, 0, 0, 11, 1, 41
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\vue.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 22
"Total", "-", 57, 29, 1412, 73, 44, 482, 19, 17, 20359, 26, 86, 22604
